EMC,Location,Analyte,Flow,Run
10.71000003814697,-1693589722_FL,TSS,Outflow,1
0.8989999890327454,-1693589722_FL,TSS,Outflow,1
2.157000064849854,-1693589722_FL,TSS,Outflow,1
1.402999997138977,-1693589722_FL,TSS,Outflow,1
7.119999885559082,-1693589722_FL,TSS,Outflow,1
2.960000038146973,-1693589722_FL,TSS,Outflow,1
0.9210000038146973,-1693589722_FL,TSS,Outflow,1
1.008999943733215,-1693589722_FL,TSS,Outflow,1
38.84999847412109,-1693589722_FL,TSS,Outflow,1
4.429999828338623,-1693589722_FL,TSS,Outflow,1
1.802000045776367,-1693589722_FL,TSS,Outflow,1
1.802000045776367,-1693589722_FL,TSS,Outflow,1
2.221999883651733,-1693589722_FL,TSS,Outflow,1
2.710000038146973,-1693589722_FL,TSS,Outflow,1
5.229000091552734,-1693589722_FL,TSS,Outflow,1
1.720000028610229,-1693589722_FL,TSS,Outflow,1
3.184999942779541,-1693589722_FL,TSS,Outflow,1
1.980000019073486,-1693589722_FL,TSS,Outflow,1
4.078999996185303,-1693589722_FL,TSS,Outflow,1
2.244999885559082,-1693589722_FL,TSS,Outflow,1
1.014999985694885,-1693589722_FL,TSS,Outflow,1
1.282999992370605,-1693589722_FL,TSS,Outflow,1
1.600000023841858,-1693589722_FL,TSS,Outflow,1
0.3039999902248383,-1693589722_FL,TSS,Outflow,1
4.230000019073486,-1693589722_FL,TSS,Outflow,1
9.586000442504883,-1693589722_FL,TSS,Outflow,2
0.135000005364418,-1693589722_FL,TSS,Outflow,2
1.802000045776367,-1693589722_FL,TSS,Outflow,2
0.8209999799728394,-1693589722_FL,TSS,Outflow,2
4.218999862670898,-1693589722_FL,TSS,Outflow,2
1.39300000667572,-1693589722_FL,TSS,Outflow,2
4.078999996185303,-1693589722_FL,TSS,Outflow,2
5.229000091552734,-1693589722_FL,TSS,Outflow,2
6.150000095367432,-1693589722_FL,TSS,Outflow,2
1.802999973297119,-1693589722_FL,TSS,Outflow,2
0.5789999961853027,-1693589722_FL,TSS,Outflow,2
2.710000038146973,-1693589722_FL,TSS,Outflow,2
1.070000052452087,-1693589722_FL,TSS,Outflow,2
2.789999961853027,-1693589722_FL,TSS,Outflow,2
2.289999961853027,-1693589722_FL,TSS,Outflow,2
1.802000045776367,-1693589722_FL,TSS,Outflow,2
1.909000039100647,-1693589722_FL,TSS,Outflow,2
4.230000019073486,-1693589722_FL,TSS,Outflow,2
38.84999847412109,-1693589722_FL,TSS,Outflow,2
1.669999957084656,-1693589722_FL,TSS,Outflow,2
1.008999943733215,-1693589722_FL,TSS,Outflow,2
