EMC,Location,Analyte,Flow,Run
0.1169999986886978,1671569331_MN,Phosphorus,Inflow,1
0.1209999993443489,1671569331_MN,Phosphorus,Inflow,1
0.1920000016689301,1671569331_MN,Phosphorus,Inflow,1
0.181999996304512,1671569331_MN,Phosphorus,Inflow,1
0.193000003695488,1671569331_MN,Phosphorus,Inflow,1
1.299999952316284,1671569331_MN,Phosphorus,Inflow,1
0.2160000056028366,1671569331_MN,Phosphorus,Inflow,1
0.1990000009536743,1671569331_MN,Phosphorus,Inflow,1
0.1500000059604645,1671569331_MN,Phosphorus,Inflow,1
0.2010000050067902,1671569331_MN,Phosphorus,Inflow,1
0.181999996304512,1671569331_MN,Phosphorus,Inflow,2
0.1519999951124191,1671569331_MN,Phosphorus,Inflow,2
0.324999988079071,1671569331_MN,Phosphorus,Inflow,2
0.08100000023841858,1671569331_MN,Phosphorus,Inflow,2
0.1389999985694885,1671569331_MN,Phosphorus,Inflow,2
0.1509999930858612,1671569331_MN,Phosphorus,Inflow,2
0.1669999957084656,1671569331_MN,Phosphorus,Inflow,2
0.2599999904632568,1671569331_MN,Phosphorus,Inflow,2
0.1529999971389771,1671569331_MN,Phosphorus,Inflow,2
0.06100000068545341,1671569331_MN,Phosphorus,Inflow,2
0.1770000010728836,1671569331_MN,Phosphorus,Inflow,3
0.4659999907016754,1671569331_MN,Phosphorus,Inflow,3
0.257999986410141,1671569331_MN,Phosphorus,Inflow,3
0.1949999928474426,1671569331_MN,Phosphorus,Inflow,3
0.1469999998807907,1671569331_MN,Phosphorus,Inflow,3
0.1299999952316284,1671569331_MN,Phosphorus,Inflow,3
0.1459999978542328,1671569331_MN,Phosphorus,Inflow,3
0.2119999974966049,1671569331_MN,Phosphorus,Inflow,3
0.382999986410141,1671569331_MN,Phosphorus,Inflow,3
0.1790000051259995,1671569331_MN,Phosphorus,Inflow,3
0.2010000050067902,1671569331_MN,Phosphorus,Inflow,4
0.1330000013113022,1671569331_MN,Phosphorus,Inflow,4
0.324999988079071,1671569331_MN,Phosphorus,Inflow,4
1.299999952316284,1671569331_MN,Phosphorus,Inflow,4
0.0860000029206276,1671569331_MN,Phosphorus,Inflow,4
0.1169999986886978,1671569331_MN,Phosphorus,Inflow,4
0.4659999907016754,1671569331_MN,Phosphorus,Inflow,4
0.153999999165535,1671569331_MN,Phosphorus,Inflow,4
0.1430000066757202,1671569331_MN,Phosphorus,Inflow,4
0.1669999957084656,1671569331_MN,Phosphorus,Inflow,4
