EMC,Location,Analyte,Flow,Run
3.400000095367432,1708200120_CO,Copper,Inflow,1
4.800000190734863,1708200120_CO,Copper,Inflow,1
2.299999952316284,1708200120_CO,Copper,Inflow,1
4.199999809265137,1708200120_CO,Copper,Inflow,1
6.599999904632568,1708200120_CO,Copper,Inflow,1
9.899999618530273,1708200120_CO,Copper,Inflow,1
6.199999809265137,1708200120_CO,Copper,Inflow,1
3.799999952316284,1708200120_CO,Copper,Inflow,1
4.599999904632568,1708200120_CO,Copper,Inflow,1
2.799999952316284,1708200120_CO,Copper,Inflow,1
12.5,1708200120_CO,Copper,Inflow,1
6.300000190734863,1708200120_CO,Copper,Inflow,1
12.30000019073486,1708200120_CO,Copper,Inflow,1
4.300000190734863,1708200120_CO,Copper,Inflow,1
10.19999980926514,1708200120_CO,Copper,Inflow,1
4.300000190734863,1708200120_CO,Copper,Inflow,2
9.699999809265137,1708200120_CO,Copper,Inflow,2
4.199999809265137,1708200120_CO,Copper,Inflow,2
6.300000190734863,1708200120_CO,Copper,Inflow,2
4.599999904632568,1708200120_CO,Copper,Inflow,2
2.799999952316284,1708200120_CO,Copper,Inflow,2
9.899999618530273,1708200120_CO,Copper,Inflow,2
5.199999809265137,1708200120_CO,Copper,Inflow,2
3.900000095367432,1708200120_CO,Copper,Inflow,2
3.099999904632568,1708200120_CO,Copper,Inflow,2
2.5,1708200120_CO,Copper,Inflow,2
5.400000095367432,1708200120_CO,Copper,Inflow,2
3.799999952316284,1708200120_CO,Copper,Inflow,2
4.599999904632568,1708200120_CO,Copper,Inflow,2
5.099999904632568,1708200120_CO,Copper,Inflow,2
4.199999809265137,1708200120_CO,Copper,Inflow,3
15.5,1708200120_CO,Copper,Inflow,3
6.599999904632568,1708200120_CO,Copper,Inflow,3
4.199999809265137,1708200120_CO,Copper,Inflow,3
4.800000190734863,1708200120_CO,Copper,Inflow,3
2.5,1708200120_CO,Copper,Inflow,3
148.0,1708200120_CO,Copper,Inflow,3
6.599999904632568,1708200120_CO,Copper,Inflow,3
10.19999980926514,1708200120_CO,Copper,Inflow,3
11.19999980926514,1708200120_CO,Copper,Inflow,3
4.900000095367432,1708200120_CO,Copper,Inflow,3
9.0,1708200120_CO,Copper,Inflow,3
