EMC,Location,Analyte,Flow,Run
7.300000190734863,1601357644_FL,TSS,Outflow,1
2.824700117111206,1601357644_FL,TSS,Outflow,1
6.25,1601357644_FL,TSS,Outflow,1
6.269999980926514,1601357644_FL,TSS,Outflow,1
3.869999885559082,1601357644_FL,TSS,Outflow,1
4.059999942779541,1601357644_FL,TSS,Outflow,1
4.870309829711914,1601357644_FL,TSS,Outflow,1
2.0,1601357644_FL,TSS,Outflow,1
5.400000095367432,1601357644_FL,TSS,Outflow,1
2.578000068664551,1601357644_FL,TSS,Outflow,1
12.0,1601357644_FL,TSS,Outflow,1
13.63099956512451,1601357644_FL,TSS,Outflow,1
12.05000019073486,1601357644_FL,TSS,Outflow,1
3.032599925994873,1601357644_FL,TSS,Outflow,1
4.314599990844727,1601357644_FL,TSS,Outflow,1
2.0,1601357644_FL,TSS,Outflow,2
6.25,1601357644_FL,TSS,Outflow,2
7.199999809265137,1601357644_FL,TSS,Outflow,2
2.109999895095825,1601357644_FL,TSS,Outflow,2
2.299999952316284,1601357644_FL,TSS,Outflow,2
3.54800009727478,1601357644_FL,TSS,Outflow,2
3.640000104904175,1601357644_FL,TSS,Outflow,2
12.05000019073486,1601357644_FL,TSS,Outflow,2
4.870309829711914,1601357644_FL,TSS,Outflow,2
6.699999809265137,1601357644_FL,TSS,Outflow,2
2.0,1601357644_FL,TSS,Outflow,2
4.360000133514404,1601357644_FL,TSS,Outflow,2
3.869999885559082,1601357644_FL,TSS,Outflow,2
4.452000141143799,1601357644_FL,TSS,Outflow,2
4.0,1601357644_FL,TSS,Outflow,2
4.5,1601357644_FL,TSS,Outflow,3
6.39169979095459,1601357644_FL,TSS,Outflow,3
4.059999942779541,1601357644_FL,TSS,Outflow,3
4.360000133514404,1601357644_FL,TSS,Outflow,3
6.699999809265137,1601357644_FL,TSS,Outflow,3
2.578000068664551,1601357644_FL,TSS,Outflow,3
3.640000104904175,1601357644_FL,TSS,Outflow,3
6.25,1601357644_FL,TSS,Outflow,3
2.815999984741211,1601357644_FL,TSS,Outflow,3
3.54800009727478,1601357644_FL,TSS,Outflow,3
3.032599925994873,1601357644_FL,TSS,Outflow,3
12.05000019073486,1601357644_FL,TSS,Outflow,3
4.320000171661377,1601357644_FL,TSS,Outflow,3
2.824700117111206,1601357644_FL,TSS,Outflow,3
14.0,1601357644_FL,TSS,Outflow,3
2.0,1601357644_FL,TSS,Outflow,4
2.109999895095825,1601357644_FL,TSS,Outflow,4
2.299999952316284,1601357644_FL,TSS,Outflow,4
3.299999952316284,1601357644_FL,TSS,Outflow,4
6.699999809265137,1601357644_FL,TSS,Outflow,4
6.269999980926514,1601357644_FL,TSS,Outflow,4
3.869999885559082,1601357644_FL,TSS,Outflow,4
5.449999809265137,1601357644_FL,TSS,Outflow,4
4.5,1601357644_FL,TSS,Outflow,4
4.059999942779541,1601357644_FL,TSS,Outflow,4
5.302000045776367,1601357644_FL,TSS,Outflow,4
4.0,1601357644_FL,TSS,Outflow,4
2.578000068664551,1601357644_FL,TSS,Outflow,4
13.63099956512451,1601357644_FL,TSS,Outflow,4
4.314599990844727,1601357644_FL,TSS,Outflow,4
12.0,1601357644_FL,TSS,Outflow,5
7.199999809265137,1601357644_FL,TSS,Outflow,5
3.640000104904175,1601357644_FL,TSS,Outflow,5
4.452000141143799,1601357644_FL,TSS,Outflow,5
3.54800009727478,1601357644_FL,TSS,Outflow,5
5.449999809265137,1601357644_FL,TSS,Outflow,5
7.940000057220459,1601357644_FL,TSS,Outflow,5
3.032599925994873,1601357644_FL,TSS,Outflow,5
6.269999980926514,1601357644_FL,TSS,Outflow,5
13.63099956512451,1601357644_FL,TSS,Outflow,5
4.320000171661377,1601357644_FL,TSS,Outflow,5
5.400000095367432,1601357644_FL,TSS,Outflow,5
4.314599990844727,1601357644_FL,TSS,Outflow,5
2.824700117111206,1601357644_FL,TSS,Outflow,5
2.109999895095825,1601357644_FL,TSS,Outflow,5
