InflowName
02 in Hidden R.
SunValleyInfiltrationIN
UM10 in Franklin Wetlan
3 Inflow 2 Queen Anne
Heritage Inlet 1
FCV Inflow
VillaParkWetlandIN
01 in Hidden R.
UM40 in Franklin Wetlan
StormfilterIN
Iris In
1 Inflow 1 Queen Anne
SunValleyInfiltrationOUT
01  Tampa Office Pond inflow
NatomasBasin4IN
In
Inflow
UM20 in Franklin Wetlan
OrchardPondIN
Heritage Inlet 2
Delaware Sand Filter IN
43rd_Ave_at_Peoria
3_07_Sacramento
4_35_Solano
6_205_Fresno
6_209_Fresno
7_01_Los_Angeles
7_127_Los_Angeles
7_128_Los_Angeles
7_201_Los_Angeles
7_202_Los_Angeles
7_203_Los_Angeles
8_01_Riverside
8_02_San_Bernandino
8_03_Riverside
12_01_Orange
12_02_Orange
