EMC,Location,Analyte,Flow
2.611999988555908,-1693589722_FL,TSS,Outflow
2.221999883651733,-1693589722_FL,TSS,Outflow
5.840000152587891,-1693589722_FL,TSS,Outflow
1.675999999046326,-1693589722_FL,TSS,Outflow
0.9290000200271606,-1693589722_FL,TSS,Outflow
0.5789999961853027,-1693589722_FL,TSS,Outflow
1.070000052452087,-1693589722_FL,TSS,Outflow
2.960000038146973,-1693589722_FL,TSS,Outflow
1.360000014305115,-1693589722_FL,TSS,Outflow
1.799999952316284,-1693589722_FL,TSS,Outflow
1.258000016212463,-1693589722_FL,TSS,Outflow
4.429999828338623,-1693589722_FL,TSS,Outflow
5.229000091552734,-1693589722_FL,TSS,Outflow
1.38100004196167,-1693589722_FL,TSS,Outflow
2.359999895095825,-1693589722_FL,TSS,Outflow
1.029999971389771,-1693589722_FL,TSS,Outflow
1.402999997138977,-1693589722_FL,TSS,Outflow
0.8880000114440918,-1693589722_FL,TSS,Outflow
0.9549999833106995,-1693589722_FL,TSS,Outflow
4.230000019073486,-1693589722_FL,TSS,Outflow
0.8209999799728394,-1693589722_FL,TSS,Outflow
1.25,-1693589722_FL,TSS,Outflow
1.039000034332275,-1693589722_FL,TSS,Outflow
1.414999961853027,-1693589722_FL,TSS,Outflow
4.078999996185303,-1693589722_FL,TSS,Outflow
2.45799994468689,-1693589722_FL,TSS,Outflow
2.244999885559082,-1693589722_FL,TSS,Outflow
1.753999948501587,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
1.669999957084656,-1693589722_FL,TSS,Outflow
3.142999887466431,-1693589722_FL,TSS,Outflow
1.802999973297119,-1693589722_FL,TSS,Outflow
0.9399999976158142,-1693589722_FL,TSS,Outflow
38.84999847412109,-1693589722_FL,TSS,Outflow
1.299999952316284,-1693589722_FL,TSS,Outflow
18.5,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
10.71000003814697,-1693589722_FL,TSS,Outflow
2.157000064849854,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
0.135000005364418,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
2.710000038146973,-1693589722_FL,TSS,Outflow
2.930000066757202,-1693589722_FL,TSS,Outflow
6.599999904632568,-1693589722_FL,TSS,Outflow
1.39300000667572,-1693589722_FL,TSS,Outflow
0.9210000038146973,-1693589722_FL,TSS,Outflow
0.8080000281333923,-1693589722_FL,TSS,Outflow
5.199999809265137,-1693589722_FL,TSS,Outflow
1.230000019073486,-1693589722_FL,TSS,Outflow
2.289999961853027,-1693589722_FL,TSS,Outflow
1.909000039100647,-1693589722_FL,TSS,Outflow
1.001999974250793,-1693589722_FL,TSS,Outflow
1.720000028610229,-1693589722_FL,TSS,Outflow
3.184999942779541,-1693589722_FL,TSS,Outflow
1.485000014305115,-1693589722_FL,TSS,Outflow
1.240000009536743,-1693589722_FL,TSS,Outflow
1.282999992370605,-1693589722_FL,TSS,Outflow
0.9380000233650208,-1693589722_FL,TSS,Outflow
2.23799991607666,-1693589722_FL,TSS,Outflow
2.170000076293945,-1693589722_FL,TSS,Outflow
1.008999943733215,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
2.466000080108643,-1693589722_FL,TSS,Outflow
9.586000442504883,-1693589722_FL,TSS,Outflow
4.218999862670898,-1693589722_FL,TSS,Outflow
1.878999948501587,-1693589722_FL,TSS,Outflow
2.789999961853027,-1693589722_FL,TSS,Outflow
0.8989999890327454,-1693589722_FL,TSS,Outflow
1.014999985694885,-1693589722_FL,TSS,Outflow
7.119999885559082,-1693589722_FL,TSS,Outflow
6.150000095367432,-1693589722_FL,TSS,Outflow
3.009999990463257,-1693589722_FL,TSS,Outflow
5.63100004196167,-1693589722_FL,TSS,Outflow
0.3039999902248383,-1693589722_FL,TSS,Outflow
1.947999954223633,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
1.802000045776367,-1693589722_FL,TSS,Outflow
1.980000019073486,-1693589722_FL,TSS,Outflow
1.600000023841858,-1693589722_FL,TSS,Outflow
