,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,6.720000267028809,1.5898105247091,20.32633849818715,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.0,5.952380952380952
1,n=5,0.25,8.0,2.0755193156552503,20.068040969986043,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.0,5.952380952380952
2,n=5,0.5,9.800000190734863,2.6884988195034913,20.787927629277334,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.0,5.952380952380952
3,n=5,0.75,12.800000190734858,4.151550339108387,22.099735302322916,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.0,5.952380952380952
4,n=5,0.9,15.580000114440917,6.404883003279063,29.65994519799271,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.0,5.952380952380952
5,n=10,0.1,6.069999933242797,1.105399466772193,13.516988405745925,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,6.8093500924412265,11.904761904761903
6,n=10,0.25,7.550000011920931,1.1942763199066677,13.387608837960766,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,6.6804321320252775,11.904761904761903
7,n=10,0.5,9.750000000000002,1.7762946063230238,14.400162433999542,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,6.387765195277792,11.904761904761903
8,n=10,0.75,13.499999761581421,2.45512437080918,13.521166570021508,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,8.578568732301408,11.904761904761903
9,n=10,0.9,16.140000247955317,5.213336284521783,21.388812293921,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,8.27113290407171,11.904761904761903
10,n=15,0.1,6.039999961853027,0.7989370364081829,9.764009313299661,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,3.752979092446264,17.857142857142858
11,n=15,0.25,7.349999904632568,1.0200718270749847,10.802376807718968,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.585232030241798,17.857142857142858
12,n=15,0.5,9.699999809265137,1.6523380955777853,13.737237162796688,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.6629252712028535,17.857142857142858
13,n=15,0.75,13.700000286102295,1.797930776909568,10.277874862465413,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,3.2432917075560947,17.857142857142858
14,n=15,0.9,17.320000267028806,4.8181546754422335,18.371728067088437,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,3.017084226832562,17.857142857142858
15,n=20,0.1,5.980000019073486,0.6185575235391182,6.835210891859608,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.928798421440053,23.809523809523807
16,n=20,0.25,7.462500035762787,0.8202173624236111,9.809819893856789,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.9925569138621793,23.809523809523807
17,n=20,0.5,9.600000381469728,1.3396082452710796,11.39563930753111,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.3415978552655776,23.809523809523807
18,n=20,0.75,13.924999713897702,1.5192622937556117,8.130992790562123,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.14688207190329,23.809523809523807
19,n=20,0.9,17.22000007629395,4.060004197071958,16.151948888177927,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.2197791789105104,23.809523809523807
20,n=25,0.1,5.94000005722046,0.4759619470846781,5.5824361717912065,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,1.2527747200684018,29.761904761904763
21,n=25,0.25,7.199999809265138,0.7512100645340953,8.922853652177547,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,0.8869662416792412,29.761904761904763
22,n=25,0.5,9.800000190734863,1.1910487955160747,10.186018758210677,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,1.2096205493204337,29.761904761904763
23,n=25,0.75,13.899999618530268,1.2148488709747065,6.479553259415975,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,1.6514395311461483,29.761904761904763
24,n=25,0.9,17.470000267028816,3.418199385001252,13.657561558845483,1708200120_CO,Outflow,Copper,84,0,0,heavy_right_skew,IGAMMA,2.4943873293324437,29.761904761904763
