EMC,Location,Analyte,Flow,Run
3.0,-1290174122_FL,TSS,Outflow,1
9.600000381469727,-1290174122_FL,TSS,Outflow,1
4.0,-1290174122_FL,TSS,Outflow,1
3.0,-1290174122_FL,TSS,Outflow,1
2.0,-1290174122_FL,TSS,Outflow,1
3.0,-1290174122_FL,TSS,Outflow,2
7.099999904632568,-1290174122_FL,TSS,Outflow,2
7.0,-1290174122_FL,TSS,Outflow,2
7.300000190734863,-1290174122_FL,TSS,Outflow,2
6.0,-1290174122_FL,TSS,Outflow,2
5.0,-1290174122_FL,TSS,Outflow,3
7.599999904632568,-1290174122_FL,TSS,Outflow,3
15.89999961853027,-1290174122_FL,TSS,Outflow,3
7.300000190734863,-1290174122_FL,TSS,Outflow,3
5.0,-1290174122_FL,TSS,Outflow,3
11.0,-1290174122_FL,TSS,Outflow,4
12.39999961853027,-1290174122_FL,TSS,Outflow,4
3.0,-1290174122_FL,TSS,Outflow,4
23.0,-1290174122_FL,TSS,Outflow,4
5.0,-1290174122_FL,TSS,Outflow,4
3.0,-1290174122_FL,TSS,Outflow,5
3.0,-1290174122_FL,TSS,Outflow,5
5.300000190734863,-1290174122_FL,TSS,Outflow,5
4.0,-1290174122_FL,TSS,Outflow,5
3.0,-1290174122_FL,TSS,Outflow,5
3.0,-1290174122_FL,TSS,Outflow,6
5.0,-1290174122_FL,TSS,Outflow,6
12.5,-1290174122_FL,TSS,Outflow,6
4.0,-1290174122_FL,TSS,Outflow,6
9.600000381469727,-1290174122_FL,TSS,Outflow,6
5.0,-1290174122_FL,TSS,Outflow,7
3.0,-1290174122_FL,TSS,Outflow,7
15.0,-1290174122_FL,TSS,Outflow,7
23.0,-1290174122_FL,TSS,Outflow,7
16.0,-1290174122_FL,TSS,Outflow,7
2.0,-1290174122_FL,TSS,Outflow,8
20.29999923706055,-1290174122_FL,TSS,Outflow,8
10.0,-1290174122_FL,TSS,Outflow,8
47.0,-1290174122_FL,TSS,Outflow,8
7.900000095367432,-1290174122_FL,TSS,Outflow,8
2.0,-1290174122_FL,TSS,Outflow,9
15.0,-1290174122_FL,TSS,Outflow,9
0.02999999932944775,-1290174122_FL,TSS,Outflow,9
8.0,-1290174122_FL,TSS,Outflow,9
3.0,-1290174122_FL,TSS,Outflow,9
47.0,-1290174122_FL,TSS,Outflow,10
16.5,-1290174122_FL,TSS,Outflow,10
4.0,-1290174122_FL,TSS,Outflow,10
8.0,-1290174122_FL,TSS,Outflow,10
29.39999961853027,-1290174122_FL,TSS,Outflow,10
16.0,-1290174122_FL,TSS,Outflow,11
12.39999961853027,-1290174122_FL,TSS,Outflow,11
3.0,-1290174122_FL,TSS,Outflow,11
12.5,-1290174122_FL,TSS,Outflow,11
9.699999809265137,-1290174122_FL,TSS,Outflow,11
3.0,-1290174122_FL,TSS,Outflow,12
4.0,-1290174122_FL,TSS,Outflow,12
7.0,-1290174122_FL,TSS,Outflow,12
15.0,-1290174122_FL,TSS,Outflow,12
10.0,-1290174122_FL,TSS,Outflow,12
5.099999904632568,-1290174122_FL,TSS,Outflow,13
8.0,-1290174122_FL,TSS,Outflow,13
3.0,-1290174122_FL,TSS,Outflow,13
16.0,-1290174122_FL,TSS,Outflow,13
30.79999923706055,-1290174122_FL,TSS,Outflow,13
8.0,-1290174122_FL,TSS,Outflow,14
3.0,-1290174122_FL,TSS,Outflow,14
10.0,-1290174122_FL,TSS,Outflow,14
11.0,-1290174122_FL,TSS,Outflow,14
16.5,-1290174122_FL,TSS,Outflow,14
16.70000076293945,-1290174122_FL,TSS,Outflow,15
2.0,-1290174122_FL,TSS,Outflow,15
49.29999923706055,-1290174122_FL,TSS,Outflow,15
23.0,-1290174122_FL,TSS,Outflow,15
4.0,-1290174122_FL,TSS,Outflow,15
7.300000190734863,-1290174122_FL,TSS,Outflow,16
3.0,-1290174122_FL,TSS,Outflow,16
5.099999904632568,-1290174122_FL,TSS,Outflow,16
1.0,-1290174122_FL,TSS,Outflow,16
7.0,-1290174122_FL,TSS,Outflow,16
3.0,-1290174122_FL,TSS,Outflow,17
5.699999809265137,-1290174122_FL,TSS,Outflow,17
2.0,-1290174122_FL,TSS,Outflow,17
2.0,-1290174122_FL,TSS,Outflow,17
16.60000038146973,-1290174122_FL,TSS,Outflow,17
4.0,-1290174122_FL,TSS,Outflow,18
15.0,-1290174122_FL,TSS,Outflow,18
3.0,-1290174122_FL,TSS,Outflow,18
8.0,-1290174122_FL,TSS,Outflow,18
6.0,-1290174122_FL,TSS,Outflow,18
16.60000038146973,-1290174122_FL,TSS,Outflow,19
20.29999923706055,-1290174122_FL,TSS,Outflow,19
1.0,-1290174122_FL,TSS,Outflow,19
8.0,-1290174122_FL,TSS,Outflow,19
16.70000076293945,-1290174122_FL,TSS,Outflow,19
3.0,-1290174122_FL,TSS,Outflow,20
3.0,-1290174122_FL,TSS,Outflow,20
